replica,region,elapsed_min,network_rtt_ms,scrape_ms,num_running_reqs
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,12.226,254.8,107.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,12.729,210.4,108.8,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,13.233,292.7,298.9,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,13.741,238.7,114.6,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,14.251,202.5,120.3,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,14.773,175.1,113.5,3
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,15.282,160.9,122.1,13
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,15.786,146.6,118.3,5
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,16.29,252.3,503.8,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,16.799,208.2,109.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,17.303,179.7,114.3,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,17.806,158.3,109.1,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,18.31,143.2,109.5,6
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,18.813,133.4,111.7,5
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,19.323,124.9,109.9,3
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,19.839,184.3,113.3,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,20.35,161.2,111.0,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,20.853,146.9,117.2,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,21.357,188.1,109.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,21.867,218.9,107.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,22.376,185.3,111.3,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,22.88,161.9,112.3,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,23.383,267.8,296.6,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,23.912,219.6,108.2,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,24.435,185.4,110.7,4
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,24.951,224.6,110.6,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,25.456,189.5,108.9,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,25.96,220.5,108.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,26.465,187.0,110.0,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,26.968,162.4,109.9,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,27.472,204.2,112.4,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,27.981,311.7,516.2,0
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,28.491,307.4,108.0,3
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,29.0,303.9,297.0,0
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,29.516,245.6,112.5,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,30.019,206.2,113.9,2
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,30.529,289.1,299.7,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,31.045,347.9,307.1,1
ta-01kqtxa4e6xe1qrny42znj8255-,us-east,31.561,387.1,297.8,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,-0.0,840.0,951.7,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,0.516,873.4,585.9,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,1.032,670.1,767.2,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,1.545,530.5,206.3,6
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,2.048,659.0,580.0,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,2.564,521.4,200.9,4
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,3.073,537.1,573.6,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,3.583,435.6,198.8,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,4.086,367.7,210.1,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,4.591,436.1,613.9,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,5.102,608.7,515.3,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,5.619,486.5,202.3,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,6.128,486.5,319.2,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,6.634,517.5,207.1,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,7.144,424.9,203.6,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,7.648,476.2,201.0,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,8.158,504.5,197.8,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,8.667,416.9,212.6,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,9.171,354.8,210.8,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,9.674,306.4,209.1,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,10.179,387.8,571.8,3
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,10.689,606.3,1112.1,4
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,11.208,481.9,208.6,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,11.716,513.9,207.9,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,12.226,420.2,206.6,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,12.729,355.6,205.4,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,13.233,308.7,207.7,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,13.741,394.4,207.8,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,14.251,671.4,203.7,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,14.773,641.9,213.4,5
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,15.282,518.8,230.2,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,15.786,436.6,199.6,0
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,16.29,367.1,205.6,2
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,16.799,314.9,239.4,1
ta-01kqtxa49nxjyzdskbpysv0rsy-,us-east,17.303,282.9,207.2,1
